Sat May 21 12:22:04 2022    main.stats

         3611503 function calls (3547257 primitive calls) in 40.564 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.001    0.000    0.439    0.063 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\tight_layout.py:19(auto_adjust_subplotpars)
       24    0.001    0.000    0.426    0.018 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:4095(get_tightbbox)
      283    0.014    0.000    0.405    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:56(__init__)
     2192    0.025    0.000    0.358    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:41(__init__)
10162/10132    0.063    0.000    0.354    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:972(update)
     2004    0.005    0.000    0.354    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1327(contains_branch_seperately)
     2041    0.012    0.000    0.351    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:722(__init__)
        4    0.351    0.088    0.351    0.088 {medianBlur}
       23    0.000    0.000    0.350    0.015 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:686(set_data)
       29    0.000    0.000    0.349    0.012 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\cbook\__init__.py:681(safe_masked_invalid)
     2004    0.017    0.000    0.346    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1308(contains_branch)
   140/71    0.001    0.000    0.335    0.005 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:2011(_get_tick)
   140/71    0.003    0.000    0.334    0.005 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:416(__init__)
2221/2191    0.005    0.000    0.311    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:1086(set)
 1349/370    0.001    0.000    0.293    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:776(get_yaxis_transform)
      899    0.021    0.000    0.275    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\lines.py:269(__init__)
    23960    0.274    0.000    0.275    0.000 {built-in method numpy.array}
        8    0.000    0.000    0.260    0.033 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1096(get_tightbbox)
     7094    0.016    0.000    0.226    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1957(rotate_deg_around)
      268    0.003    0.000    0.216    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\text.py:863(get_window_extent)
16016/8012    0.018    0.000    0.199    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2320(__eq__)
    25141    0.018    0.000    0.197    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1267(__add__)
 1322/355    0.001    0.000    0.193    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:700(get_xaxis_transform)
        2    0.000    0.000    0.190    0.095 <__array_function__ internals>:2(histogram)
        2    0.125    0.062    0.189    0.095 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\lib\histograms.py:678(histogram)
      158    0.005    0.000    0.186    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\text.py:268(_get_layout)
    25141    0.030    0.000    0.175    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2433(composite_transform_factory)
     7398    0.015    0.000    0.174    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:815(from_extents)
     6979    0.005    0.000    0.171    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\inspect.py:3032(bind)
    63703    0.018    0.000    0.168    0.000 {built-in method builtins.next}
10057/10051    0.042    0.000    0.168    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1710(__eq__)
      152    0.001    0.000    0.167    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_agg.py:215(get_text_width_height_descent)
     6979    0.116    0.000    0.166    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\inspect.py:2901(_bind)
    11289    0.026    0.000    0.153    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\colors.py:161(to_rgba)
     3186    0.012    0.000    0.151    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1019(__init__)
    20892    0.138    0.000    0.150    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\cbook\__init__.py:2045(_setattr_cm)
    10450    0.009    0.000    0.149    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\contextlib.py:108(__enter__)
       16    0.001    0.000    0.144    0.009 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1016(_update_ticks)
     7163    0.010    0.000    0.141    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1937(rotate_deg)
     5452    0.129    0.000    0.139    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\cbook\__init__.py:2219(_check_isinstance)
      462    0.001    0.000    0.138    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:228(set_clip_path)
    17137    0.038    0.000    0.134    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
    21049    0.036    0.000    0.133    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2276(__init__)
       29    0.132    0.005    0.133    0.005 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\numpy\ma\core.py:2334(masked_invalid)
     7094    0.017    0.000    0.131    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:783(_convert_units)
       70    0.001    0.000    0.130    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:815(set_tick_params)
     7163    0.029    0.000    0.130    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1921(rotate)
100098/83079    0.075    0.000    0.129    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:213(stale)
       10    0.000    0.000    0.128    0.013 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\pyplot.py:555(figure)
     4543    0.008    0.000    0.127    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\patches.py:339(_set_facecolor)
       10    0.000    0.000    0.127    0.013 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\pyplot.py:312(new_figure_manager)
       10    0.000    0.000    0.127    0.013 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:3487(new_figure_manager)
     4004    0.003    0.000    0.126    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1645(__eq__)
     78/7    0.001    0.000    0.125    0.018 <frozen importlib._bootstrap>:986(_find_and_load)
     78/7    0.000    0.000    0.125    0.018 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     99/7    0.000    0.000    0.124    0.018 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2025    0.015    0.000    0.123    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:2123(update_datalim)
     72/7    0.000    0.000    0.123    0.018 <frozen importlib._bootstrap>:650(_load_unlocked)
    32502    0.105    0.000    0.123    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:185(set_children)
     68/7    0.000    0.000    0.123    0.018 <frozen importlib._bootstrap_external>:777(exec_module)
     4004    0.007    0.000    0.123    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2091(__eq__)
       20    0.000    0.000    0.121    0.006 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\astropy\visualization\wcsaxes\core.py:612(get_tightbbox)
       10    0.000    0.000    0.119    0.012 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backend_bases.py:3496(new_figure_manager_given_figure)
      152    0.001    0.000    0.119    0.001 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_agg.py:268(_get_agg_font)
     68/7    0.000    0.000    0.118    0.017 {built-in method builtins.exec}
      875    0.007    0.000    0.113    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\text.py:127(__init__)
       26    0.001    0.000    0.112    0.004 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:2607(_update_title_position)
       18    0.000    0.000    0.112    0.006 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1375(get_major_ticks)
18008/8008    0.022    0.000    0.112    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2327(_iter_break_from_left_to_right)
       31    0.000    0.000    0.111    0.004 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\figure.py:1086(_process_projection_requirements)
     2398    0.008    0.000    0.111    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1399(transform)
       23    0.000    0.000    0.110    0.005 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\astropy\wcs\wcsapi\low_level_api.py:325(_as_mpl_axes)
    10069    0.010    0.000    0.110    0.000 <__array_function__ internals>:2(all)
   305048    0.072    0.000    0.106    0.000 {built-in method builtins.isinstance}
     7398    0.008    0.000    0.103    0.000 <__array_function__ internals>:2(reshape)
    11145    0.036    0.000    0.102    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:766(__init__)
       18    0.000    0.000    0.101    0.006 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:2851(grid)
       36    0.000    0.000    0.101    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1401(grid)
       31    0.000    0.000    0.099    0.003 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:611(_init_axis)
       10    0.044    0.004    0.099    0.010 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:535(__init__)
       23    0.001    0.000    0.097    0.004 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\astropy\visualization\wcsaxes\core.py:328(reset_wcs)
      423    0.003    0.000    0.096    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\ntpath.py:625(realpath)
        8    0.095    0.012    0.095    0.012 {GaussianBlur}
     2390    0.004    0.000    0.094    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2342(transform_affine)
