Wed May 25 18:15:15 2022    qatm_pytorch.stats

         391679 function calls (384663 primitive calls) in 32.997 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.066    0.066 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:310(_make_image)
        1    0.061    0.061    0.062    0.062 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\backends\backend_qt5.py:96(_create_qApp)
      414    0.003    0.000    0.061    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\path.py:497(contains_point)
        4    0.000    0.000    0.056    0.014 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1089(_get_tick_bboxes)
        4    0.000    0.000    0.056    0.014 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1091(<listcomp>)
        2    0.013    0.006    0.055    0.027 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\font_manager.py:1316(_findfont_cached)
        4    0.000    0.000    0.053    0.013 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1016(_update_ticks)
      867    0.003    0.000    0.049    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1399(transform)
        2    0.000    0.000    0.049    0.024 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:160(_resample)
        2    0.047    0.024    0.048    0.024 {built-in method matplotlib._image.resample}
  828/414    0.006    0.000    0.047    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2296(frozen)
        4    0.000    0.000    0.045    0.011 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:1375(get_major_ticks)
     7976    0.044    0.000    0.044    0.000 {method 'copy' of 'numpy.ndarray' objects}
      162    0.003    0.000    0.042    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:3686(format_ydata)
        1    0.000    0.000    0.042    0.042 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:2607(_update_title_position)
        3    0.000    0.000    0.039    0.013 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\figure.py:2021(gca)
        1    0.000    0.000    0.039    0.039 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\figure.py:1254(add_subplot)
        1    0.000    0.000    0.039    0.039 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_subplots.py:18(__init__)
       73    0.000    0.000    0.039    0.001 <__array_function__ internals>:2(where)
        1    0.000    0.000    0.039    0.039 D:/Magistrs/Praktiskais/qatm_pytorch.py:131(__init__)
        1    0.007    0.007    0.039    0.039 D:/Magistrs/Praktiskais/qatm_pytorch.py:80(__init__)
        1    0.000    0.000    0.039    0.039 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:434(__init__)
      162    0.003    0.000    0.038    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:3676(format_xdata)
        5    0.038    0.008    0.038    0.008 {built-in method cat}
       71    0.001    0.000    0.036    0.001 D:/Magistrs/Praktiskais/qatm_pytorch.py:221(plot_result)
      431    0.001    0.000    0.033    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1957(rotate_deg_around)
     2664    0.003    0.000    0.032    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.031    0.031 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axes\_base.py:1038(cla)
   1681/1    0.005    0.000    0.031    0.031 C:\Users\krist\anaconda3\envs\Kristaps\lib\copy.py:128(deepcopy)
    381/2    0.001    0.000    0.031    0.015 C:\Users\krist\anaconda3\envs\Kristaps\lib\copy.py:258(_reconstruct)
     38/1    0.001    0.000    0.031    0.031 C:\Users\krist\anaconda3\envs\Kristaps\lib\copy.py:226(_deepcopy_dict)
        1    0.000    0.000    0.031    0.031 D:/Magistrs/Praktiskais/qatm_pytorch.py:22(__init__)
      648    0.001    0.000    0.030    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1436(transform_affine)
     2102    0.004    0.000    0.029    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1765(frozen)
      184    0.000    0.000    0.028    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\artist.py:1086(set)
      102    0.001    0.000    0.028    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\ntpath.py:625(realpath)
      448    0.001    0.000    0.027    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:1937(rotate_deg)
      162    0.006    0.000    0.027    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\image.py:975(get_cursor_data)
       11    0.000    0.000    0.026    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:2301(_get_tick)
       11    0.000    0.000    0.026    0.002 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\axis.py:489(__init__)
      718    0.003    0.000    0.026    0.000 C:\Users\krist\anaconda3\envs\Kristaps\lib\site-packages\matplotlib\transforms.py:2183(get_affine)
